"Fullscale_V9_DataCollectSweep1_041026: Design Number","Fullscale_V9_DataCollectSweep1_041026: BaseSize (m)","Fullscale_V9_DataCollectSweep1_041026: BEAVSExtension (mm)","Fullscale_V9_DataCollectSweep1_041026: BEAVSPosition (m)","Fullscale_V9_DataCollectSweep1_041026: FreestreamAltitude (ft)","Fullscale_V9_DataCollectSweep1_041026: FreestreamMach","Fullscale_V9_DataCollectSweep1_041026: FreestreamTemperature (C)","Fullscale_V9_DataCollectSweep1_041026: NumSteps","Fullscale_V9_DataCollectSweep1_041026: Cell Count","Fullscale_V9_DataCollectSweep1_041026: Center of Loads (m)","Fullscale_V9_DataCollectSweep1_041026: Drag BEAVS (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Camera Pod (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Center Body (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Coefficient","Fullscale_V9_DataCollectSweep1_041026: Drag Fins (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Nose (N)","Fullscale_V9_DataCollectSweep1_041026: Drag of all external components (N)","Fullscale_V9_DataCollectSweep1_041026: Drag Tail & Base (N)","Fullscale_V9_DataCollectSweep1_041026: Total Solver CPU Time (s)","Fullscale_V9_DataCollectSweep1_041026: Total Solver Elapsed Time (s)"
1.0,0.03,0.0,1.23,3600.0,0.1,7.0,470.0,2405297.0,-0.4639626215291473,0.017390605493258497,0.14711182794965114,1.2071451171394667,0.9710713412522923,0.7328763869589753,-129.92517150016207,3.2568004209417323,131.07744798356242,20282.131804999986,2563.3481433929996
2.0,0.03,0.0,1.23,3600.0,0.11,7.0,470.0,2405297.0,-0.4641170620946165,0.017698096609434458,0.1764735518480038,1.3906374128099315,0.9635416713191447,0.8717779854954174,-129.88213359868857,3.9101721038476023,131.3357186557734,20210.369308000012,2549.114813092002
3.0,0.03,0.0,1.23,3600.0,0.12,7.0,470.0,2405297.0,-0.4642891752372359,0.018027206293759444,0.20857016729154776,1.5881428457807418,0.9577662579194102,1.019581980062144,-129.8351683470858,4.625535529498169,131.6263816771558,21179.619623000002,2694.8798673459996
4.0,0.03,0.0,1.23,3600.0,0.13,7.0,470.0,2405297.0,-0.46448347918706284,0.018371995485751892,0.24366942994093022,1.7941925085509367,0.9414102481871671,1.1759673879197097,-129.78402400620584,5.335874889666858,131.88769757397537,19971.15224999999,2517.4820350049986
5.0,0.03,0.0,1.23,3600.0,0.14,7.0,470.0,2405297.0,-0.46469032685067396,0.018745387926158624,0.2811463915523867,2.0203309647030547,0.9355999638930541,1.3449868706359398,-129.7295745739638,6.150158032533486,132.21452299167976,20185.389267,2542.008595932999
6.0,0.03,0.0,1.23,3600.0,0.15,7.0,470.0,2405297.0,-0.46491033754328515,0.019144729756206916,0.3209726911924678,2.2631852574510103,0.9351152204263274,1.524870153238512,-129.67145547106026,7.056472203622583,132.59975484304462,20369.976090999993,2563.8658742409966
7.0,0.03,0.0,1.23,3600.0,0.16,7.0,470.0,2405297.0,-0.46511703602075105,0.019583843176513314,0.36200428451024513,2.5409138068499453,0.9442740734004929,1.7259408086855603,-129.61025724728333,8.107333191768081,133.06914769582914,20168.059178999996,2538.3869226250013
8.0,0.03,0.0,1.23,3600.0,0.17,7.0,470.0,2405297.0,-0.46535981364481044,0.0200545286136341,0.40630788222618613,2.8203002050686696,0.9417730066186559,1.931952075328549,-129.54450531365342,9.12817718723092,133.4940678096473,20259.296703999964,2559.943429866001
9.0,0.03,0.0,1.23,3600.0,0.18,7.0,470.0,2405297.0,-0.46563180446764846,0.020529384406242458,0.4531813205840859,3.1095090642878134,0.939785962920743,2.142003088977407,-129.47505921479285,10.212073834150784,133.9619101906881,20406.937890999998,2571.3381773339956
10.0,0.03,0.0,1.23,3600.0,0.19,7.0,470.0,2405306.0,-0.46589914131301136,0.02104617035147256,0.5025132730610266,3.422521729860322,0.9383049052793595,2.3709364879375263,-129.4017311646063,11.360336111914245,134.4450496153102,20108.998217999986,2530.920024602999
11.0,0.03,0.0,1.23,3600.0,0.2,7.0,470.0,2405306.0,-0.4662332083085931,0.021569433561295624,0.5547133801014791,3.7317653581165335,0.9362735542982152,2.592261795089228,-129.32404710969718,12.5603793510072,134.9841164938358,20198.37373199999,2542.775810885
12.0,0.03,0.0,1.23,3600.0,0.21,7.0,470.0,2405306.0,-0.4665988794859084,0.022092795123601412,0.6098754640610866,4.044609314772514,0.9241928919990468,2.8247012283408663,-129.2423400495354,13.669140710407799,135.41020195764514,20463.572712999998,2585.5997913849997
13.0,0.03,0.0,1.23,3600.0,0.22,7.0,470.0,2405306.0,-0.46693011499411524,0.022642024297525813,0.6677065680405677,4.373339128915014,0.9192087001522069,3.0733439499327315,-129.1565662803168,14.921053542099271,135.94058815123023,20301.072694000002,2557.964975545
14.0,0.03,0.0,1.23,3600.0,0.23,7.0,470.0,2405306.0,-0.4672026702500676,0.02332121945481607,0.7251378501645613,4.787926690917218,0.9283095427650773,3.3543850285898085,-129.06790705609924,16.469806395732686,136.6469426627055,20202.963517000026,2543.4065473849996
15.0,0.03,0.0,1.23,3600.0,0.24,7.0,470.0,2405306.0,-0.4676518712823351,0.02383241265421291,0.7904627632797823,5.085008822579249,0.9099842956700208,3.597886486681349,-128.9728231620218,17.579089495388015,137.05472217221524,20462.818417,2575.6787877579995
16.0,0.03,0.0,1.23,3600.0,0.25,7.0,470.0,2405306.0,-0.46802489400226194,0.024407879953829006,0.8569501307474827,5.423802783844272,0.8990065565278078,3.8695528773565533,-128.8739820710244,18.844424917136248,137.54369331625847,21099.048800999983,2665.4196866380007
17.0,0.03,0.0,1.23,3600.0,0.26,7.0,470.0,2405306.0,-0.46841067198665215,0.025252372438528764,0.9173994015958391,5.930876376072408,0.9180320587220558,4.180448871820387,-128.7736640712405,20.81347306119524,138.53316011050853,20437.782748999987,2575.509657573001
18.0,0.03,0.0,1.23,3600.0,0.27,7.0,470.0,2405306.0,-0.46884436849970407,0.025893302670663247,0.9886044750633085,6.305380721593672,0.9084365849132354,4.46825624056436,-128.66605976131805,22.21069473794248,139.08861975936856,20239.851455999982,2547.9911436800026
19.0,0.03,0.0,1.23,3600.0,0.28,7.0,470.0,2405306.0,-0.46912180544787835,0.026907825326193496,1.0494069432758368,6.8969778014448435,0.9229767509181237,4.828136335509527,-128.55783751441683,24.26871781773449,140.0251264265949,19913.744861000032,2506.457278804001
20.0,0.03,0.0,1.23,3600.0,0.29,7.0,470.0,2405338.0,-0.46960309602546435,0.027569612554206147,1.1266089073939611,7.281816006469726,0.9154414630314673,5.123330759967084,-128.44051185812407,25.820614819209652,140.70180139094873,20481.834977000013,2586.4381136870015
21.0,0.03,0.0,1.23,3600.0,0.3,7.0,470.0,2405418.0,-0.47001411237034746,0.028479738964599734,1.1965000724102672,7.811828126282519,0.9168930466327169,5.47761120014723,-128.320918248454,27.67586349116998,141.48236260181935,20244.866696000023,2548.0623568169963
22.0,0.03,0.0,1.23,3600.0,0.31,7.0,470.0,2405386.0,-0.470592034913238,0.029108216190227573,1.2810031116826581,8.182963081625852,0.9089607635890926,5.775705313837106,-128.19267222602306,29.296013038995603,142.21990554168283,20346.063897999982,2564.1016651870027
23.0,0.03,0.0,1.23,3600.0,0.32,7.0,470.0,2405418.0,-0.4710566647209656,0.02973635396358793,1.3691391787633762,8.56625073734638,0.8981707884348618,6.107423963866144,-128.05883215551256,30.84600138911599,142.83228331068906,20923.029346000007,2633.9584024250034
24.0,0.03,0.0,1.23,3600.0,0.33,7.0,470.0,2405514.0,-0.47150692240143227,0.030859312547516643,1.4393301384796626,9.232066330339824,0.906545814839735,6.497813009768084,-127.92446057180517,33.109882378764794,143.83427415943487,20905.366875999996,2659.7147731039986
25.0,0.03,0.0,1.23,3600.0,0.34,7.0,470.0,2405578.0,-0.47203042707475995,0.03175342979092773,1.5246797177098077,9.742900756387536,0.9037415240528637,6.860005489436346,-127.7802199022342,35.03822133374463,144.6591018426542,20552.51646800001,2597.225775000998
