FullScaleV9_NoCameraTransonicSweep1_041626: Design Number,FullScaleV9_NoCameraTransonicSweep1_041626: BaseSize (m),FullScaleV9_NoCameraTransonicSweep1_041626: BEAVSExtension (mm),FullScaleV9_NoCameraTransonicSweep1_041626: BEAVSPosition (m),FullScaleV9_NoCameraTransonicSweep1_041626: FreestreamAltitude (ft),FullScaleV9_NoCameraTransonicSweep1_041626: FreestreamMach,FullScaleV9_NoCameraTransonicSweep1_041626: FreestreamTemperature (C),FullScaleV9_NoCameraTransonicSweep1_041626: NumSteps,FullScaleV9_NoCameraTransonicSweep1_041626: Cell Count,FullScaleV9_NoCameraTransonicSweep1_041626: Center of Loads (m),FullScaleV9_NoCameraTransonicSweep1_041626: Drag BEAVS (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Camera Pod (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Center Body (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Coefficient,FullScaleV9_NoCameraTransonicSweep1_041626: Drag Fins (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Nose (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag of all external components (N),FullScaleV9_NoCameraTransonicSweep1_041626: Drag Tail & Base (N),FullScaleV9_NoCameraTransonicSweep1_041626: Total Solver CPU Time (s),FullScaleV9_NoCameraTransonicSweep1_041626: Total Solver Elapsed Time (s)
1,0.03,0,1.23,3600,0.75,7,300,2039925,0.10051519516329842,0.075233558,0,12.685772894757921,0.3945232532614334,28.72027641562498,-85.84971631,148.8555811423363,193.22401458396325,11803.99584,1490.1271954100005
2,0.03,0,1.23,3600,0.8,7,300,2043712,0.1143462465553638,0.081356606,0,14.26778124320213,0.43484647860821746,31.761065869485844,-58.44664279,186.6749034854549,199.0113426,10928.388221999985,1382.4229341780003
3,0.03,0,1.23,3600,0.85,7,300,2053838,0.13349762624463965,0.092283214,0,16.71743580638003,0.49585564385682823,35.600836847786915,-23.55438037,240.30516119530327,211.44898569787782,10982.768975999985,1390.4978144149995
4,0.03,0,1.23,3600,0.9,7,300,2083646,0.158567239,0.096954555,0,18.64239766010076,0.5536661087254859,40.130185127862276,19.547785310005082,300.8174011445383,222.4000784915503,11198.055953000005,1410.7160006120002
5,0.03,0,1.23,3600,0.95,7,300,2150632,0.19778359754260427,0.10645592432778503,0,20.882052084272974,0.646867356,66.37206024,71.70684692619074,391.5907717214061,232.52335654426497,11877.837583999995,1496.313441907002
6,0.03,0,1.23,3600,0.99,7,300,2244535,0.23387645434635962,0.11856527946737591,0,22.871108962998797,0.7587570358633062,72.73538900875761,120.73592568670199,498.8191199663986,282.3581310284728,12049.349176999998,1516.4817078630008
7,0.03,5,1.23,3600,0.75,7,300,2041257,0.10137160425956485,8.239981131232266,0,12.05182612,0.4096049078216197,28.684827898374863,-85.84474829,154.54596424545048,191.41407739186408,11674.407032000005,1469.2635978370013
8,0.03,5,1.23,3600,0.8,7,300,2045784,0.11519668606957995,9.254138573,0,13.244735543136102,0.44456178460192874,31.494877255554833,-58.45007313,190.8455795698339,195.30190132742953,11169.781144999992,1410.7071029019987
9,0.03,5,1.23,3600,0.85,7,300,2055676,0.13455770257583785,11.122452907922336,0,15.429901882358434,0.5058416361147338,35.23902793730637,-23.56380898,245.14464524466484,206.9170714986658,10595.727256999991,1334.7815277580014
10,0.03,5,1.23,3600,0.9,7,300,2083785,0.16011833315885135,13.473255928501358,0,17.993704016349117,0.5751831019213952,40.18864844,19.532052736200207,312.50799565923234,221.32033454121114,11228.627324000001,1413.3891191480016
