"SupSonicSweep2_012726: Design Number","SupSonicSweep2_012726: BEAVSExtension (mm)","SupSonicSweep2_012726: BEAVSPosition (m)","SupSonicSweep2_012726: FreestreamAltitude (ft)","SupSonicSweep2_012726: FreestreamMach","SupSonicSweep2_012726: FreestreamTemperature (C)","SupSonicSweep2_012726: NumSteps","SupSonicSweep2_012726: Cell Count","SupSonicSweep2_012726: Center of Loads (m)","SupSonicSweep2_012726: Drag BEAVS (N)","SupSonicSweep2_012726: Drag Center Body (N)","SupSonicSweep2_012726: Drag Coefficient","SupSonicSweep2_012726: Drag Fins (N)","SupSonicSweep2_012726: Drag Nose (N)","SupSonicSweep2_012726: Drag of all external components (N)","SupSonicSweep2_012726: Drag Tail & Base (N)","SupSonicSweep2_012726: Total Solver CPU Time (s)","SupSonicSweep2_012726: Total Solver Elapsed Time (s)"
1.0,0.0,1.4,3600.0,0.1,7.0,470.0,1240753.0,-0.6979108041826063,0.017247965370597033,1.2068139351816396,0.83121805645569,0.49322204164505545,-129.92368480413728,2.787757398615196,130.99415826055517,13175.200611,1669.2193263800023
2.0,0.0,1.4,3600.0,0.11,7.0,470.0,1240753.0,-0.6980716546515597,0.01749904426514526,1.369562475532082,0.8232678918764733,0.5851818639768185,-129.88053033428253,3.3409236368590802,131.24921058736754,13010.590699999992,1649.598947849
3.0,0.0,1.4,3600.0,0.12,7.0,470.0,1240753.0,-0.6982478746042052,0.01777489765745746,1.5475387528288946,0.8191963892245406,0.6852618934974473,-129.8335643198464,3.9563118586221506,131.53930063448476,13061.855994000001,1645.3936296670006
4.0,0.0,1.4,3600.0,0.13,7.0,470.0,1240753.0,-0.6984388131636072,0.018101527933887217,1.7503768831275155,0.8252285937592385,0.7965657910793718,-129.78273897235078,4.67736201104063,131.89505678125064,13414.296319000006,1691.9416037629999
5.0,0.0,1.4,3600.0,0.14,7.0,470.0,1240753.0,-0.6986462743582583,0.018458317068927487,1.9642213533775523,0.8283074630840472,0.913908264505624,-129.72805917979508,5.444871733744655,132.27634297858762,13699.257134000007,1724.9768278770014
6.0,0.0,1.4,3600.0,0.15,7.0,470.0,1240753.0,-0.698872610030581,0.01874093206562375,2.1469418031344203,0.8058731857492382,1.0280786491408842,-129.66902730610613,6.081198990956076,132.55646491272128,12968.21165799999,1630.0385647290032
7.0,0.0,1.4,3600.0,0.16,7.0,470.0,1240753.0,-0.6991100937085643,0.019175976476469434,2.4052631232359727,0.8193529045703092,1.1638432215620456,-129.60687060730558,7.034787024356932,133.053375310388,13474.038081999994,1695.0270175930013
8.0,0.0,1.4,3600.0,0.17,7.0,470.0,1240753.0,-0.6993647388994533,0.019604769347261096,2.666714967479353,0.8230552495057395,1.3018656713288677,-129.54074543226525,7.9774999915782425,133.530060015688,13765.271842000016,1736.064697343999
9.0,0.0,1.4,3600.0,0.18,7.0,470.0,1240753.0,-0.6996365624517135,0.02007625036900295,2.949932482247229,0.8269726850723182,1.4459851117702207,-129.47085606696535,8.986201594816361,134.04106381739524,13404.452920999995,1684.3242635980012
10.0,0.0,1.4,3600.0,0.19,7.0,470.0,1240753.0,-0.6999242199489273,0.020533052644453115,3.233070271129356,0.8266412316831919,1.5948472016028366,-129.39684370955783,10.008390857864981,134.55678404204616,13493.672874999995,1695.787025406999
11.0,0.0,1.4,3600.0,0.2,7.0,470.0,1240753.0,-0.7002285360446363,0.02098466979530345,3.5156752121462693,0.8224754920456145,1.7478609534774545,-129.31850177954934,11.033745575290265,135.06772651942055,13656.686852999994,1718.4374111339973
12.0,0.0,1.4,3600.0,0.21,7.0,470.0,1240768.0,-0.7005486785027943,0.021572370721921325,3.8584685813574056,0.8276807723568307,1.9121158202495874,-129.2363368332373,12.241692225280868,135.68587228618924,13629.177669999986,1719.2386676179997
13.0,0.0,1.4,3600.0,0.22,7.0,470.0,1240768.0,-0.7008859157845926,0.022091931528835432,4.176045505280794,0.8259137061398496,2.081267476486592,-129.14945392919103,13.406642722621918,136.27669173851672,13858.039974999998,1743.914319241001
14.0,0.0,1.4,3600.0,0.23,7.0,470.0,1240768.0,-0.7012412317139565,0.0227226758843533,4.547182360868606,0.8290696785288147,2.258186467334137,-129.0586310233736,14.709120681093165,136.93966020037968,13603.838831000012,1709.606319070999
