"SupSonicSweep2_BEAVS_012726: Design Number","SupSonicSweep2_BEAVS_012726: BEAVSExtension (mm)","SupSonicSweep2_BEAVS_012726: BEAVSPosition (m)","SupSonicSweep2_BEAVS_012726: FreestreamAltitude (ft)","SupSonicSweep2_BEAVS_012726: FreestreamMach","SupSonicSweep2_BEAVS_012726: FreestreamTemperature (C)","SupSonicSweep2_BEAVS_012726: NumSteps","SupSonicSweep2_BEAVS_012726: Cell Count","SupSonicSweep2_BEAVS_012726: Center of Loads (m)","SupSonicSweep2_BEAVS_012726: Drag BEAVS (N)","SupSonicSweep2_BEAVS_012726: Drag Center Body (N)","SupSonicSweep2_BEAVS_012726: Drag Coefficient","SupSonicSweep2_BEAVS_012726: Drag Fins (N)","SupSonicSweep2_BEAVS_012726: Drag Nose (N)","SupSonicSweep2_BEAVS_012726: Drag of all external components (N)","SupSonicSweep2_BEAVS_012726: Drag Tail & Base (N)","SupSonicSweep2_BEAVS_012726: Total Solver CPU Time (s)","SupSonicSweep2_BEAVS_012726: Total Solver Elapsed Time (s)"
1.0,15.0,1.4,3600.0,0.1,7.0,470.0,1245429.0,-0.6978980169439013,0.3669414293217762,1.199901908595879,0.9222299844232112,0.48924602437405706,-129.9230983166876,3.0929952042465465,130.9600041586424,15064.762331000002,1996.1177867059976
2.0,15.0,1.4,3600.0,0.11,7.0,470.0,1245429.0,-0.6980558723123249,0.44768715518739893,1.3579146704457656,0.9158198723436632,0.5805255946388548,-129.87984127289994,3.716511100225561,131.21022495285348,15898.310185000006,2158.9307663289997
3.0,15.0,1.4,3600.0,0.12,7.0,470.0,1245429.0,-0.698228092933678,0.5373605995235973,1.5313060717440035,0.9145200729780167,0.6807236128018214,-129.832731726542,4.416677926395468,131.500019368868,16609.971548000016,2616.965987998003
4.0,15.0,1.4,3600.0,0.13,7.0,470.0,1245429.0,-0.6984164851673383,0.6354416618997295,1.7148354863185291,0.9108929155936589,0.7873546236747111,-129.78157775595042,5.16290389322946,131.8068498772869,16961.907252000008,2569.101356739004
5.0,15.0,1.4,3600.0,0.14,7.0,470.0,1245429.0,-0.6986187793596935,0.7445657451021768,1.9146021574326613,0.9128960225459956,0.9036411785111165,-129.72665403838377,6.000913876233216,132.16475883357109,13243.044646,1665.4656303260012
6.0,15.0,1.4,3600.0,0.15,7.0,470.0,1245429.0,-0.6988379248484627,0.860468653805109,2.1194576616614005,0.9094110351666332,1.024046518880569,-129.66767531869795,6.862505872159061,132.52620835650993,13346.993189999994,1678.664825328999
7.0,15.0,1.4,3600.0,0.16,7.0,470.0,1245429.0,-0.6990714736262039,0.9852532813713665,2.341687403052351,0.9090337741151816,1.1534868447262556,-129.60502412920889,7.804767595473776,132.92936419553268,13529.511785000012,1705.950284319
8.0,15.0,1.4,3600.0,0.17,7.0,470.0,1245429.0,-0.6993217618063355,1.120471082243408,2.5744572426894194,0.9073000176908134,1.2880987339901755,-129.53848439084553,8.794046192930491,133.349503524853,13661.455659999994,1723.059158677998
9.0,15.0,1.4,3600.0,0.18,7.0,470.0,1245429.0,-0.6995868790068579,1.2671101081577558,2.822640576318727,0.9067174373919962,1.429084139526199,-129.46810930974817,9.852738583774691,133.80201306952023,13512.399186999992,1698.7604216759987
10.0,15.0,1.4,3600.0,0.19,7.0,470.0,1245429.0,-0.6998675905299807,1.4209828215904363,3.082721348130266,0.9056641870080946,1.5764216351110822,-129.39366296309927,10.965145243349516,134.278682401617,13737.778440999991,1728.2912117900005
11.0,15.0,1.4,3600.0,0.2,7.0,470.0,1245429.0,-0.7001618226060818,1.587163970686352,3.3666453548304505,0.9082558626932278,1.7330785196612786,-129.3151415692529,12.184513949829682,134.81276767390452,13919.449341000007,1755.3130307439976
12.0,15.0,1.4,3600.0,0.21,7.0,470.0,1245429.0,-0.7004749889308529,1.7575695466644503,3.648441679912231,0.9061256913842637,1.8919790493657784,-129.23222333266335,13.401920404360594,135.33615346108152,13946.989624000009,1759.2252966400006
13.0,15.0,1.4,3600.0,0.22,7.0,470.0,1245429.0,-0.7008012203427382,1.9411630834551838,3.957248446771001,0.9073997538179156,2.061199945409603,-129.14504889780395,14.729364842350686,135.91480226451887,13937.749762000001,1752.4138987690012
14.0,15.0,1.4,3600.0,0.23,7.0,470.0,1245448.0,-0.7011440965014323,2.139489040107775,4.278661283971252,0.9090708764240729,2.237865782832163,-129.0533553105488,16.128479397192287,136.5258186008299,13567.817498000013,1706.6480305090006
15.0,15.0,1.4,3600.0,0.24,7.0,470.0,1245464.0,-0.701496152083211,2.335632779064893,4.590312970209539,0.9052703814947767,2.4186177190197897,-128.95701888569084,17.48802603467279,137.1004814520694,13698.311969000006,1726.8208905329984
16.0,15.0,1.4,3600.0,0.25,7.0,470.0,1245480.0,-0.7018695714415025,2.564359012761824,4.944907039960282,0.9037827000960037,2.6093179395054045,-128.85633058046966,18.94453951386616,137.6822861021083,13764.777014000001,1736.6320297270004
17.0,15.0,1.4,3600.0,0.26,7.0,470.0,1245480.0,-0.7022599694588256,2.7929720371124445,5.2991188612032145,0.9047725340781465,2.806083715874452,-128.75066610135445,20.512855281719858,138.3653467688842,13805.816674000002,1736.2034098049978
