"SupSonicSweep3_012826: Design Number","SupSonicSweep3_012826: BEAVSExtension (mm)","SupSonicSweep3_012826: BEAVSPosition (m)","SupSonicSweep3_012826: FreestreamAltitude (ft)","SupSonicSweep3_012826: FreestreamMach","SupSonicSweep3_012826: FreestreamTemperature (C)","SupSonicSweep3_012826: NumSteps","SupSonicSweep3_012826: Cell Count","SupSonicSweep3_012826: Center of Loads (m)","SupSonicSweep3_012826: Drag BEAVS (N)","SupSonicSweep3_012826: Drag Center Body (N)","SupSonicSweep3_012826: Drag Coefficient","SupSonicSweep3_012826: Drag Fins (N)","SupSonicSweep3_012826: Drag Nose (N)","SupSonicSweep3_012826: Drag of all external components (N)","SupSonicSweep3_012826: Drag Tail & Base (N)","SupSonicSweep3_012826: Total Solver CPU Time (s)","SupSonicSweep3_012826: Total Solver Elapsed Time (s)"
1.0,30.0,1.4,3600.0,0.1,7.0,470.0,1249135.0,-0.6979064240139516,1.1070925228153845,1.2005128377681804,1.146439466882144,0.5028527947788264,-129.9220884112757,3.844953897528245,130.95658415344153,27381.817267000002,3475.856281142997
2.0,30.0,1.4,3600.0,0.11,7.0,470.0,1249135.0,-0.6980657452219409,1.3441311679302335,1.3583977119251613,1.1400471516446542,0.596887759512451,-129.87856354922963,4.626453325395764,131.20560023525758,28355.086365000006,3576.4565714610007
3.0,30.0,1.4,3600.0,0.12,7.0,470.0,1249135.0,-0.6982402784869502,1.6096819169371361,1.5303757553698467,1.1301954873132685,0.6924079757064345,-129.83125861258992,5.458283102604222,131.4570760671807,29061.960578000006,3666.2188718110037
4.0,30.0,1.4,3600.0,0.13,7.0,470.0,1249135.0,-0.6984298611327208,1.8946093037478091,1.712115335565977,1.1252137196534435,0.7990556212154734,-129.77984069668307,6.377665469192701,131.7517259053465,29256.32292099994,3687.543318914002
5.0,30.0,1.4,3600.0,0.14,7.0,470.0,1249135.0,-0.6986355188707731,2.203260853287133,1.9032818424265399,1.1204062857104724,0.9139478537106109,-129.72454790293875,7.364980743576596,132.069038097091,27964.87421200002,3520.8273815560033
6.0,30.0,1.4,3600.0,0.15,7.0,470.0,1249135.0,-0.6988525741809627,2.5347231998721482,2.1095326718827754,1.115508409701739,1.0289858512462864,-129.66545303176343,8.417737102363507,132.40994841112575,30483.962247000003,3854.522981975001
7.0,30.0,1.4,3600.0,0.16,7.0,470.0,1249135.0,-0.699079636840617,2.8863993035391764,2.3297900783194785,1.1164340810894906,1.1509182764704242,-129.602699652475,9.585461824068304,132.82105381821424,29896.869320999995,3777.2052482590016
8.0,30.0,1.4,3600.0,0.17,7.0,470.0,1249135.0,-0.6993315308208562,3.2664401927892524,2.556647426694669,1.1122067778974571,1.2839935597321577,-129.53579945958595,10.780114174155853,133.20883245452575,29326.802453999986,3698.0667337950003
9.0,30.0,1.4,3600.0,0.18,7.0,470.0,1249135.0,-0.6995999555979483,3.6681282735165857,2.7935032585885384,1.1071753508277409,1.4222068271165829,-129.46501073928715,12.03099096614002,133.6121633462055,27886.232586999977,3511.0414076870024
10.0,30.0,1.4,3600.0,0.19,7.0,470.0,1249164.0,-0.6998722656536317,4.09347657939399,3.0579991344895907,1.1105723368138758,1.569591937455355,-129.39035790426672,13.446029059225008,134.1153193121528,29840.22237500006,3764.494871923995
11.0,30.0,1.4,3600.0,0.2,7.0,470.0,1249164.0,-0.7001625071705202,4.54041533870992,3.3228095810536598,1.1088957460394635,1.7207424838218608,-129.31148515639381,14.876155763486945,134.60367351629532,29984.595290000027,3781.384673958997
12.0,30.0,1.4,3600.0,0.21,7.0,470.0,1249164.0,-0.7004668347159138,5.011916143859204,3.6008206938353355,1.1085401552720309,1.879346657168276,-129.2282647573555,16.39570212747999,135.13188338997273,29957.72075799999,3780.221786603999
13.0,30.0,1.4,3600.0,0.22,7.0,470.0,1249183.0,-0.7007852650354368,5.508119539860725,3.88446044582554,1.1079177123627986,2.0440618542153244,-129.14060981873507,17.984272237271206,135.6882402161047,27549.003781000025,3468.551950945002
14.0,30.0,1.4,3600.0,0.23,7.0,470.0,1249183.0,-0.7011329711902989,6.031719219474666,4.176731655041391,1.1041506833345607,2.213730484996341,-129.04834156293697,19.58953037590202,136.21569057932658,29441.01241299999,3709.760101701999
15.0,30.0,1.4,3600.0,0.24,7.0,470.0,1249255.0,-0.7014620083658021,6.593302227004866,4.4970810198485545,1.1070649685170346,2.398721688146599,-128.9518929532966,21.38629672113248,136.84908473942906,28929.072966999964,3642.0461456560015
16.0,30.0,1.4,3600.0,0.25,7.0,470.0,1249271.0,-0.7018461157570652,7.1655257596584105,4.801284949428933,1.0977198436879023,2.578931500149808,-128.85030421347054,23.00973115738043,137.31429316161382,29692.983207999965,3742.3705149429984
17.0,30.0,1.4,3600.0,0.26,7.0,470.0,1249295.0,-0.7022327166948206,7.7651918757248035,5.12595470545339,1.0968054891085162,2.7715073312908496,-128.74396800984886,24.86659510857308,137.94790920595293,27932.943633,3515.8406036870006
18.0,30.0,1.4,3600.0,0.27,7.0,470.0,1249415.0,-0.7026535412175985,8.402022273023192,5.439716372678416,1.0883982255551639,2.965147238450267,-128.63232113772904,26.6106420003251,138.43607725390225,30048.68270000003,3785.7728672159938
19.0,30.0,1.4,3600.0,0.28,7.0,470.0,1249479.0,-0.7030586895961705,9.055107229350364,5.7928055378350685,1.0885641437281417,3.174589256737026,-128.51580511617234,28.62266682704943,139.11596991929932,28756.460302999974,3622.666064829001
20.0,30.0,1.4,3600.0,0.29,7.0,470.0,1249503.0,-0.7035242776671564,9.733498762964812,6.116607460597097,1.0830070630461535,3.3746627975751973,-128.39307397045275,30.546910262067673,139.7152152113833,29281.23929700004,3688.2545520229983
21.0,30.0,1.4,3600.0,0.3,7.0,470.0,1249640.0,-0.7039388023064665,10.452925901295076,6.505223576003906,1.0878162798731057,3.601157831549482,-128.26575751142576,32.83507817602654,140.54152837860386,31410.216537000015,4006.1943345190007
22.0,30.0,1.4,3600.0,0.31,7.0,470.0,1249797.0,-0.7044714499246986,11.197652080129172,6.817352152490336,1.0737813669139016,3.7980792337033296,-128.1306974262564,34.6082187331476,140.92583269308116,36930.83240799996,4805.515002682005
23.0,30.0,1.4,3600.0,0.32,7.0,470.0,1250023.0,-0.7050083643358594,11.96104775590122,7.1435395347328985,1.060583539816138,4.01612243583876,-127.98892703591677,36.423764570934665,141.29198188037856,37187.51706400002,4849.690858195007
24.0,30.0,1.4,3600.0,0.33,7.0,470.0,1250137.0,-0.7054061445328269,12.76093838930998,7.612184178092993,1.0765016047285911,4.263293966885604,-127.84342035897862,39.31719823715298,142.52420206184303,36570.42226699998,4750.482543106996
25.0,30.0,1.4,3600.0,0.34,7.0,470.0,1250257.0,-0.7058872077128702,13.618761756952939,8.024407567873288,1.0798213375221097,4.510553746107525,-127.68906326259683,41.864867352035816,143.40020754369888,33048.994629999994,4243.586977301004
26.0,30.0,1.4,3600.0,0.35,7.0,470.0,1250344.0,-0.7063403429606976,14.473875480879993,8.53347194606673,1.081350342817436,4.766246573221668,-127.5280365677509,44.42653946531748,144.1809820329,35938.407594,4669.604332527994
27.0,30.0,1.4,3600.0,0.36,7.0,470.0,1250493.0,-0.7068835112052172,15.314468699210302,8.938836358968317,1.0806260630788538,5.0209679981916215,-127.35771016352527,46.96998499093183,145.05342209808683,35996.422547999966,4676.056193736996
28.0,30.0,1.4,3600.0,0.37,7.0,470.0,1250776.0,-0.7074940326416854,16.263224276783767,9.312081237128941,1.076832099113632,5.260071153200556,-127.17813733994281,49.441477510036265,145.7842381828658,36041.27259299998,4671.670407279003
29.0,30.0,1.4,3600.0,0.38,7.0,470.0,1250892.0,-0.7081195085540521,17.206492725969767,9.756597512115581,1.0757948471242196,5.50988333061321,-126.99047239061603,52.09987065838852,146.61736948030597,32245.683858000037,4143.660209496999
30.0,30.0,1.4,3600.0,0.39,7.0,470.0,1251075.0,-0.7087427892392953,18.094574516325803,10.112200085283234,1.068817569793347,5.762163671542018,-126.79314735388184,54.522127489401115,147.3463365701319,35260.86932699999,4573.905832675005
31.0,30.0,1.4,3600.0,0.4,7.0,470.0,1251148.0,-0.7093754587200694,19.082483693227505,10.567757324493725,1.067349356215534,6.031995034909093,-126.58790636416157,57.27519591929146,148.18086623082274,36336.91942300002,4699.275827743004
32.0,30.0,1.4,3600.0,0.41,7.0,470.0,1251422.0,-0.7099782406206198,20.1003006655593,11.148096870617065,1.071417446147937,6.333135444221567,-126.37464781260124,60.4041012624955,149.1972160946988,35773.945971000045,4636.705571444003
33.0,30.0,1.4,3600.0,0.42,7.0,470.0,1251627.0,-0.7106994741461041,21.133780219731477,11.496283140519846,1.0640497045955724,6.5919158321073095,-126.14945535207042,62.95069031974242,149.8781664794542,33134.28629800001,4241.695317112999
34.0,30.0,1.4,3600.0,0.43,7.0,470.0,1251787.0,-0.7112992857428563,22.224328533636474,12.124365931597398,1.0714739380158762,6.917033863324463,-125.91863082409039,66.44441871199353,151.0973212075256,35283.10982399994,4558.678215271994
35.0,30.0,1.4,3600.0,0.4400000000000001,7.0,470.0,1251971.0,-0.7120954903841648,23.252186418408602,12.437785017077283,1.0620517925619575,7.180196237669351,-125.67623814342353,68.9590151123482,151.7650855826165,37189.29638800003,4824.082656939006
36.0,30.0,1.4,3600.0,0.4500000000000001,7.0,470.0,1252018.0,-0.7129355841909544,24.329855564701003,12.82162339465261,1.054921413830563,7.442126036228666,-125.42745777706585,71.64487610834877,152.47872888983233,36393.9117,4720.717176505008
37.0,30.0,1.4,3600.0,0.46,7.0,470.0,1252296.0,-0.7136112012382148,25.429079183781976,13.41447396326524,1.055907808135339,7.784389283918953,-125.17517711963943,74.93447549803963,153.48171018671286,35342.59852400003,4529.652050227999
38.0,30.0,1.4,3600.0,0.47,7.0,470.0,1252511.0,-0.7145604206537508,26.571505779812796,13.768708871053189,1.0449404038237842,8.051458206229006,-124.91246079708205,77.4153735043884,153.93616144437544,37863.42026400002,4906.124005385999
39.0,30.0,1.4,3600.0,0.48,7.0,470.0,1252676.0,-0.7151377887896284,27.82229915969267,14.503568680088474,1.0580719243936167,8.437447536720683,-124.6484935393121,81.75939360701906,155.64457176982933,38046.803864,4926.539933786001
40.0,30.0,1.4,3600.0,0.49,7.0,470.0,1253016.0,-0.7157790393089832,28.88836225623899,15.589487996898693,1.0716737766589386,8.859706411296386,-124.38123217009775,86.29681049225518,157.34048599791882,35842.94907300003,4637.308906044999
41.0,30.0,1.4,3600.0,0.5,7.0,470.0,1252964.0,-0.7168117891434381,30.215675551074817,15.484994453686188,1.053961937232742,9.099919694857359,-124.09543117409683,88.37001887243754,157.66486034691602,33645.81259699998,4300.445039069997
42.0,30.0,1.4,3600.0,0.51,7.0,470.0,1253175.0,-0.7177205883615848,31.438870948587866,15.955059342820858,1.0500089558896915,9.414370958927567,-123.80952331730246,91.59533691238329,158.59655897934948,36830.22056999998,4773.822213842995
43.0,30.0,1.4,3600.0,0.52,7.0,470.0,1253413.0,-0.7185278117664023,32.82170812951276,16.612917147091277,1.0550956667668245,9.79258869401718,-123.51769403131789,95.6838272850942,159.9743073457909,35527.02343499996,4579.6420345339975
44.0,30.0,1.4,3600.0,0.53,7.0,470.0,1253665.0,-0.7192780217451336,34.19727928286989,17.59046244221368,1.0656575854211425,10.218493882187518,-123.22109131925261,100.39438059856396,161.60923631054547,37837.32916500004,4901.757100123
45.0,30.0,1.4,3600.0,0.54,7.0,470.0,1253999.0,-0.7201449773446977,35.46463211615143,18.307229784032497,1.0687635536661193,10.609864349789294,-122.91239051138928,104.52234721385213,163.0530114752682,32650.37477699998,4174.523035256003
46.0,30.0,1.4,3600.0,0.55,7.0,470.0,1254235.0,-0.7212724425037742,36.83028014100541,18.323066286800117,1.0549459828445806,10.901774517489317,-122.58618140148128,107.02755056858088,163.55861102476732,35906.49804099999,4642.977580337005
47.0,30.0,1.4,3600.0,0.56,7.0,470.0,1254702.0,-0.722470162882541,38.189422528093644,18.59776246086295,1.043402720309769,11.195989951490837,-122.2497245219408,109.74077587226526,164.00732545375865,38835.99687300002,5011.428652433003
48.0,30.0,1.4,3600.0,0.5700000000000001,7.0,470.0,1255027.0,-0.7235694146579852,39.49560155173016,19.069532409274572,1.0381295751241493,11.542981273171101,-121.900227715713,113.12049025836805,164.9126027399052,38214.94671500003,4931.7975855350005
49.0,30.0,1.4,3600.0,0.58,7.0,470.0,1255426.0,-0.724755216940491,40.7605226202223,19.474030497670345,1.029938038329676,11.874373984062306,-121.53119177624768,116.20025724986756,165.6225219241603,35438.93314200005,4539.640702739998
50.0,30.0,1.4,3600.0,0.59,7.0,470.0,1256073.0,-0.7257871339377839,42.232661467387445,20.075665908056887,1.0318454480023314,12.279544297923346,-121.14423240987912,120.46438200463996,167.0207427411514,36024.239012999984,4648.645211035999
51.0,30.0,1.4,3600.0,0.6,7.0,470.0,1256606.0,-0.7271535830897267,43.620293217477865,20.44049154698583,1.0209117903985576,12.611493480610262,-120.73197177949372,123.26242608714851,167.32211962156828,36844.14644800005,4762.359056302002
52.0,30.0,1.4,3600.0,0.61,7.0,470.0,1257282.0,-0.7282136470615905,45.09479057100256,21.0650301505932,1.0251408790499021,13.01180618919399,-120.27102346836811,127.93318931713983,169.0325858747182,34142.28885299996,4378.447040543002
53.0,30.0,1.4,3600.0,0.62,7.0,470.0,1257827.0,-0.7294461619540752,46.64850548345873,21.630279026570417,1.025154485082093,13.417543187029345,-119.74303279640318,132.16385289663216,170.2105579959768,35886.09326800001,4640.525744694999
54.0,30.0,1.4,3600.0,0.63,7.0,470.0,1258502.0,-0.7308031322876403,47.98419871959938,21.987313577100387,1.0201791603504735,13.78435481249798,-118.99278470805739,135.79930209692972,171.0362196957894,37351.70218199995,4833.485910777001
55.0,30.0,1.4,3600.0,0.64,7.0,470.0,1259320.0,-0.7323524687894369,49.299713035999815,22.2323242818943,1.0141595080478694,14.264001969601932,-117.78209515273882,139.31767096786857,171.30372683311134,34662.719916999995,4437.167107444996
56.0,30.0,1.4,3600.0,0.65,7.0,470.0,1259941.0,-0.733783567326663,50.40670771005179,22.46153918745057,1.0170247402606971,14.68777136631611,-115.93750597235574,144.1113628473067,172.49285055584397,36389.383497999996,4695.160064305002
57.0,30.0,1.4,3600.0,0.66,7.0,470.0,1260955.0,-0.7353328983988654,51.295751585128585,22.59910809560401,1.020763252529327,15.10527450841166,-113.41323663348349,149.12583864848068,173.5389410928199,38696.17870599998,5003.239308031009
58.0,30.0,1.4,3600.0,0.67,7.0,470.0,1261680.0,-0.7368027713557563,51.94239195939823,22.788700694871938,1.024454066274836,15.484285720564838,-110.76303696610859,154.23470482169108,174.78236341296466,37069.60830500003,4794.859542089
59.0,30.0,1.4,3600.0,0.6799999999999999,7.0,470.0,1262805.0,-0.7382705951703,52.9667652640292,23.00042363682002,1.034425610178739,15.841975016502637,-107.81490505990979,160.4194673724715,176.4252085150294,32148.708700000014,4111.188849888999
60.0,30.0,1.4,3600.0,0.69,7.0,470.0,1263802.0,-0.7401211463505529,53.7019455617014,22.95052708568484,1.0371930856990168,16.33661309220433,-104.62097572968665,165.61428391356793,177.246173903664,35956.633907000025,4636.280778069997
